# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
4.366500000000000e-02	6.698107156323099e+03	2.277472858177315e+01
4.415700000000000e-02	6.716437393992264e+03	2.266409043153338e+01
4.467200000000000e-02	6.734640836101364e+03	2.256336445114939e+01
4.511200000000000e-02	6.752917330329345e+03	2.247541542959680e+01
4.550700000000000e-02	6.771355341359773e+03	2.240310815585130e+01
4.584000000000000e-02	6.789649941054080e+03	2.234821879907776e+01
4.612000000000000e-02	6.808067726674340e+03	2.231281000733868e+01
4.642000000000000e-02	6.826478694096838e+03	2.229779851310625e+01
4.657000000000000e-02	6.844834388692198e+03	2.230375727417561e+01
4.673400000000000e-02	6.863275837469398e+03	2.233108736100335e+01
4.687800000000000e-02	6.881551701443803e+03	2.237915852001482e+01
4.694600000000000e-02	6.899900732128648e+03	2.244688213139929e+01
4.695600000000000e-02	6.918172642694268e+03	2.253282580066891e+01
4.696500000000000e-02	6.936248429806614e+03	2.263492687976122e+01
4.691700000000000e-02	6.954478800932087e+03	2.275037787548008e+01
4.682600000000000e-02	6.972424240146040e+03	2.287614211151130e+01
4.667100000000000e-02	6.990354152203746e+03	2.300883913686360e+01
4.652100000000000e-02	7.008183109097949e+03	2.314417176807350e+01
4.630700000000000e-02	7.025938097140803e+03	2.327835848369314e+01
4.597900000000000e-02	7.043553627256320e+03	2.340715939603855e+01
4.575300000000000e-02	7.061084245026600e+03	2.352656380054381e+01
4.533700000000000e-02	7.078582261498336e+03	2.363313395043814e+01
4.493700000000000e-02	7.095970155481848e+03	2.372371857784833e+01
4.452200000000000e-02	7.113277262416246e+03	2.379539559801919e+01
4.401000000000000e-02	7.130570790250902e+03	2.384633154600632e+01
4.349700000000000e-02	7.147826961237313e+03	2.387486484420384e+01
4.293400000000000e-02	7.165021310077629e+03	2.387996416858050e+01
4.232700000000000e-02	7.182200704719493e+03	2.386168681491583e+01
4.176400000000000e-02	7.199416482181349e+03	2.382003278320982e+01
4.102200000000000e-02	7.216583232056034e+03	2.375597610171419e+01
